No,Year_of_survey,District,lat,lon,CBSD_Severity,CBSD_Incidence,CMD_Mean_Severity ,CMD Incidence,Adult_Whitefly_Population,Mean_adult_whitefly_per_Plant
90,2008,Hoima,1.59184,31.30011,3,76.7,0,0,16,1.1
91,2008,Hoima,1.5907,31.30893,0,0,0,0,26,1.7
92,2008,Hoima,1.40384,31.37743,0,0,3,43.3,281,18.7
93,2008,Hoima,1.40392,31.1377,0,0,2,16.7,1120,74.7
94,2008,Hoima,1.33123,31.37397,0,0,2,3.3,152,10.1
95,2008,Hoima,1.4199,31.33529,2.5,33.3,0,0,11,0.7
96,2008,Hoima,1.42282,31.13288,0,0,2,3.3,313,20.9
97,2008,Hoima,1.4212,31.31799,0,0,0,0,57,3.8
98,2008,Hoima,1.42461,31.32465,2,23.3,2,3.3,46,3.1
99,2008,Hoima,1.41781,31.30677,0,0,2.4,16.7,253,16.9
100,2008,Hoima,0.3414,33.2802,0,0,0,0,603,40.2
101,2008,Iganga,0.313,33.283,0,0,0,0,0,0
102,2008,Iganga,0.332,33.2933,0,0,0,0,4,0.3
103,2008,Iganga,0.3441,33.292,0,0,0,0,257,17.1
104,2008,Iganga,0.3227,33.23,0,0,0,0,19,1.3
105,2008,Iganga,0.34,33.2754,0,0,0,0,48,3.2
106,2008,Iganga,0.3522,33.2702,2,66.7,0,0,176,11.7
107,2008,Iganga,0.4257,33.2113,0,0,2.15,66.7,31,2.1
108,2008,Iganga,0.4629,33.1926,0,0,0,0,47,3.1
109,2008,Iganga,0.452,33.2017,0,0,0,0,0,0
110,2008,Iganga,0.4003,33.2323,2,100,0,0,25,1.7
111,2008,Iganga,0.2804,33.2542,0,0,2,6.7,27,1.8
112,2008,Iganga,0.3909,33.2423,3,100,0,0,113,7.5
113,2008,Iganga,0.2714,33.2642,0,0,0,0,0,0
114,2008,Iganga,0.4007,33.2323,0,0,0,0,8,0.5
115,2008,Iganga,0.5107,33.1351,0,0,0,0,21,1.4
116,2008,Iganga,0.5015,33,0,0,0,0,31,2.1
117,2008,Iganga,0.4548,33.0848,2,100,2,3.3,17,1.1
118,2008,Iganga,0.5505,33.063,0,0,2,10,46,3.1
119,2008,Iganga,0.35816,30.19593,0,0,4,100,5,0.3
121,2008,Kasese,0.36115,30.1869,0,0,0,0,70,4.7
122,2008,Kasese,0.36955,30.17918,2,6.7,0,0,940,62.7
123,2008,Kasese,0.38532,30.16307,0,0,3,23.3,17,1.1
124,2008,Kasese,0.38532,30.16307,0,0,0,0,43,2.9
125,2008,Kasese,0.38432,30.15307,0,0,2,73.3,88,5.9
126,2008,Kasese,0.05413,29.9192,2.7,100,0,0,416,27.7
127,2008,Kasese,0.07244,29.91801,2,10,0,0,146,9.7
128,2008,Kasese,0.10243,29.93965,0,0,0,0,9,0.6
